ID,Host,Bd,Treatment,LoN,mass,mass2,dmass,mortality,Date,mortality14,Date14,Zoospore,logZoospore,Dist,HostGenDist,tolerance
AZ 1,AZ,AZ,AZAZ,local,0.219,0.232,0.013,1,13,1,13,6.152573098,0.854462305,0,0,2.112937107
AZ 15,AZ,AZ,AZAZ,local,0.336,0.314,-0.022,1,36,0,14,1.55967311,0.408184506,0,0,23.08175974
AZ 22,AZ,AZ,AZAZ,local,0.388,0.403,0.015,1,2,1,2,6.764548228,0.890116192,0,0,0.295659064
AZ 29,AZ,AZ,AZAZ,local,0.208,0.28,0.072,1,1,1,1,11.33213338,1.091038213,0,0,0.088244637
AZ 36,AZ,AZ,AZAZ,local,0.249,0.31,0.061,1,34,0,14,4.497529117,0.740167538,0,0,7.559706478
AZ 43,AZ,AZ,AZAZ,local,0.274,0.347,0.073,1,39,0,14,6.598640689,0.880735909,0,0,5.910308174
AZ 50,AZ,AZ,AZAZ,local,0.387,0.324,-0.063,1,52,0,14,0.479581694,0.17013895,0,0,108.427825
AZ 57,AZ,AZ,AZAZ,local,0.178,0.253,0.075,1,2,1,2,10.34359187,1.054750593,0,0,0.19335643
AZ 64,AZ,AZ,AZAZ,local,0.2,0.275,0.075,1,1,1,1,5.783071708,0.831426408,0,0,0.172918485
AZ 71,AZ,AZ,AZAZ,local,0.204,0.287,0.083,1,2,1,2,15.31609738,1.212616289,0,0,0.130581567
AZ 78,AZ,AZ,AZAZ,local,0.29,0.206,-0.084,1,31,0,14,3.891480078,0.689440289,0,0,7.966120699
AZ 8,AZ,AZ,AZAZ,local,0.27,0.297,0.027,1,33,0,14,0.331849733,0.124455228,0,0,99.44259922
LA 15,LA,LA,LALA,local,1.096,1.002,-0.094,1,48,0,14,448.9037829,2.653119645,0,0,0.106927145
LA 33,LA,LA,LALA,local,0.687,0.64,-0.047,1,38,0,14,215.4379937,2.3353335,0,0,0.176384858
LA 41,LA,LA,LALA,local,0.509,0.633,0.124,1,28,0,14,2141.164654,3.330852849,0,0,0.013076995
LA 48,LA,LA,LALA,local,0.637,0.619,-0.018,1,3,1,3,27.31560934,1.452025912,0,0,0.109827314
LA 49,LA,LA,LALA,local,0.971,0.805,-0.166,1,63,0,14,1156.418484,3.063490414,0,0,0.054478548
LA 5,LA,LA,LALA,local,0.888,0.781,-0.107,1,38,0,14,1504.618497,3.177714942,0,0,0.025255571
LA 57,LA,LA,LALA,local,0.786,0.897,0.111,1,2,1,2,56.18166744,1.757256815,0,0,0.035598801
LA 64,LA,LA,LALA,local,0.567,0.68,0.113,1,2,1,2,19.52939009,1.312376047,0,0,0.102409752
LA 72,LA,LA,LALA,local,1.432,1.253,-0.179,1,40,0,14,1483.63703,3.171620289,0,0,0.026960772
LA 79,LA,LA,LALA,local,0.787,0.779,-0.008,1,39,0,14,183.3135535,2.265557272,0,0,0.212750226
LA 86,LA,LA,LALA,local,0.66,0.714,0.054,1,40,0,14,577.581804,2.762364771,0,0,0.069254259
OH 10,OH,OH,OHOH,local,0.66,1.027,0.367,0,70,0,14,7.288995406,0.918501899,179.05,0,9.603518194
OH 18,OH,OH,OHOH,local,1.13,1.258,0.128,0,70,0,14,45.94946074,1.671630608,179.05,0,1.523412873
OH 25,OH,OH,OHOH,local,0.289,0.309,0.02,1,1,1,1,99.8682764,2.0037546,179.05,0,0.01001319
